2026-07-08 09:45:59 [INFO] root: Logging to C:\Users\SonNT\Downloads\Advanced-NLP06\assignment03\runs\exp_self\run.log
2026-07-08 09:45:59 [INFO] src.main: EvoAgent starting. Args: {'T': 5, 'resume': None, 'dataset': 'local_financial_qa', 'train_size': 200, 'dev_size': 240, 'seed': 42, 'model': 'QuantTrio/Qwen3.5-4B-AWQ', 'max_new_tokens': 4096, 'max_model_len': 16384, 'temperature': 0.0, 'no_4bit': False, 'gpu_memory_utilization': 0.9, 'afo_mode': 'best', 'afo_prob_best': 0.4, 'afo_prob_original': 0.3, 'afo_prob_latest': 0.3, 'progressive_reflections': True, 'use_curriculum': True, 'output_dir': 'C:\\Users\\SonNT\\Downloads\\Advanced-NLP06\\assignment03\\runs\\exp_self', 'early_stop': 1.0, 'log_level': 'INFO', 'skip_analysis': False, 'smoke_test': False}
2026-07-08 09:46:01 [INFO] src.data: Loaded 2986 examples for train split.
2026-07-08 09:46:01 [INFO] src.data: Loaded 584 examples for validation split.
2026-07-08 09:46:01 [INFO] src.data: Loaded 494 examples for test split.
2026-07-08 09:46:01 [INFO] src.data: Splits ready: train_subset=200, dev=240.
2026-07-08 09:57:50 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:57:50 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:57:50 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:57:52 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:57:52 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:57:53 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:57:53 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:57:54 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:57:54 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:57:55 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:57:56 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:57:56 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:57:56 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:57:59 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:57:59 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:57:59 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:57:59 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:01 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:01 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:01 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:01 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:04 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:04 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:04 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:04 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:06 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:06 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:07 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:08 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:08 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:08 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:08 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:08 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:10 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:11 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:11 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:11 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:12 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:12 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:13 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:14 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:14 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:15 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:15 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:15 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:15 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:16 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:17 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
2026-07-08 09:58:18 [INFO] httpx: HTTP Request: POST https://api.aws.us-east-1.cerebrium.ai/v4/p-b416fd1e/assignment03/v1/completions "HTTP/1.1 200 OK"
